Table,Column,SampleIndex,OriginalReal,NormalizedDecimal,MigratedCents,Difference,Status
OrdemServicoItens,CustoUnitario,4,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,5,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,6,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,7,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,8,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,9,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,10,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,11,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,12,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,13,0.0,0,0,0,PASS
OrdemServicoItens,CustoUnitario,14,0.0,0,0,0,PASS
OrdensServico,ValorMaoObra,0,0.0,0,0,0,PASS
OrdensServico,ValorMaoObra,1,220.0,220,22000,0,PASS
OrdensServico,ValorMaoObra,2,100.0,100,10000,0,PASS
OrdensServico,ValorMaoObra,3,150.0,150,15000,0,PASS
OrdensServico,ValorMaoObra,4,150.0,150,15000,0,PASS
OrdensServico,ValorMaoObra,5,120.0,120,12000,0,PASS
OrdensServico,ValorMaoObra,6,80.0,80,8000,0,PASS
OrdensServico,ValorMaoObra,7,120.0,120,12000,0,PASS
OrdensServico,ValorMaoObra,8,120.0,120,12000,0,PASS
OrdensServico,Desconto,0,0.0,0,0,0,PASS
OrdensServico,Desconto,1,0.0,0,0,0,PASS
OrdensServico,Desconto,2,0.0,0,0,0,PASS
OrdensServico,Desconto,3,0.0,0,0,0,PASS
OrdensServico,Desconto,4,0.0,0,0,0,PASS
OrdensServico,Desconto,5,0.0,0,0,0,PASS
OrdensServico,Desconto,6,0.0,0,0,0,PASS
OrdensServico,Desconto,7,0.0,0,0,0,PASS
OrdensServico,Desconto,8,0.0,0,0,0,PASS
OrcamentoItens,PrecoUnitario,0,120.0,120,12000,0,PASS
OrcamentoItens,PrecoUnitario,1,80.0,80,8000,0,PASS
OrcamentoItens,PrecoUnitario,2,180.0,180,18000,0,PASS
OrcamentoItens,PrecoUnitario,3,0.0,0,0,0,PASS
OrcamentoItens,PrecoUnitario,4,0.0,0,0,0,PASS
OrcamentoItens,PrecoUnitario,5,0.0,0,0,0,PASS
OrcamentoItens,PrecoUnitario,6,0.0,0,0,0,PASS
OrcamentoItens,PrecoUnitario,7,120.0,120,12000,0,PASS
